goos: darwin
goarch: arm64
pkg: cosmossdk.io/server/v2/stf/branch
cpu: Apple M3 Max
Benchmark_CacheStack_Set/StackSize1-14         	36413290	        33.31 ns/op	       2 B/op	       2 allocs/op
Benchmark_Iterate/StackSize10-14               	   84646	     13487 ns/op	   10848 B/op	     232 allocs/op
Benchmark_Iterate/StackSize10-14               	   89509	     13241 ns/op	   10848 B/op	     232 allocs/op
Benchmark_Iterate/StackSize10-14               	   91993	     13247 ns/op	   10848 B/op	     232 allocs/op
Benchmark_Iterate/StackSize10-14               	   90870	     13235 ns/op	   10848 B/op	     232 allocs/op
Benchmark_Iterate/StackSize10-14               	   89091	     13219 ns/op	   10848 B/op	     232 allocs/op
Benchmark_Iterate/StackSize100-14              	     831	   1437972 ns/op	  109488 B/op	    2482 allocs/op
Benchmark_Iterate/StackSize100-14              	     831	   1442003 ns/op	  109488 B/op	    2482 allocs/op
Benchmark_Iterate/StackSize100-14              	     830	   1440507 ns/op	  109488 B/op	    2482 allocs/op
Benchmark_Iterate/StackSize100-14              	     832	   1438528 ns/op	  109494 B/op	    2482 allocs/op
Benchmark_Iterate/StackSize100-14              	     836	   1439228 ns/op	  109488 B/op	    2482 allocs/op
Benchmark_Iterate/StackSize100-14              	     828	   1444444 ns/op	  109488 B/op	    2482 allocs/op
Benchmark_Iterate/StackSize100-14              	     836	   1437128 ns/op	  109488 B/op	    2482 allocs/op
Benchmark_Iterate/StackSize100-14              	     836	   1437714 ns/op	  109488 B/op	    2482 allocs/op
Benchmark_Iterate/StackSize100-14              	     834	   1441704 ns/op	  109488 B/op	    2482 allocs/op
Benchmark_Iterate/StackSize100-14              	     832	   1447616 ns/op	  109488 B/op	    2482 allocs/op
PASS
ok  	cosmossdk.io/server/v2/stf/branch	120.114s
